ID,fq6,fq14_ch_age,fq14_3,f_sep,ss_all,asbi_express,asbi_comply,asbi_disrupt,ch_ST_recs,ch_PA_recs,fq16_st_wk_trunc_hrs,fq16_tv_hrs,fq16_comp_hrs,fq18_avg_out_hrs
30208,Female,3.030801,No,3,78,38,24,12,0,0,3,2,1,1.5
30400,Female,3.865845,No,3,82,39,27,10,1,1,0,0,0,4
30863,Female,2.130048,No,3,68,35,18,11,1,0,0.8571428,0.8571428,0,1.714286
30530,Male,2.105407,No,3,63,29,20,12,1,0,0.5,0.5,0,1.5
300057,Female,2.403833,No,3,78,38,25,11,1,0,0.3571429,0.3571429,0,1.5
30388,Male,2.42026,No,2,66,33,19,14,0,1,3,2,1,3.642857
30205,Male,2.800821,Yes,3,71,33,22,10,1,0,0.3571429,0,0.3571429,1.428571
30244,Male,2.069815,No,3,62,24,22,10,0,0,2.285714,1.428571,0.8571428,2.571429
30386,Male,3.014374,No,3,78,37,25,10,0,0,2.571429,0.8571428,1.714286,2.928571
30615,Male,2.590007,No,3,74,36,23,11,1,0,0,0,0,1.642857
30627,Male,2.551677,No,2,57,24,17,10,0,0,2.142857,1.142857,1,2.785714
30701,Female,2.592745,No,3,78,36,26,10,1,1,0.5,0.5,0,3.642857
30144,Male,2.108145,No,3,74,31,26,9,1,0,0,0,0,2.071429
30679,Female,4.544832,No,3,79,32,30,9,0,1,3.5,3,0.5,4
30876,Male,4.5859,No,3,81,38,29,12,0,0,1.5,1,0.5,2
30690,Female,2.729637,No,3,81,37,26,8,1,0,0.3571429,0.3571429,0,2.285714
30439,Male,3.819302,No,1,78,35,27,14,1,1,0.1428571,0.1428571,0,3.5
30230,Male,4.314853,No,3,79,36,27,12,1,0,0.3571429,0.3571429,0,2.642857
30910,Female,3.808351,No,3,82,39,29,12,0,0,3.714286,1.857143,1.857143,1.714286
30060,Male,2.398357,No,3,60,27,18,11,0,0,1.357143,1.357143,0,1.857143
30561,Male,2.940452,No,3,74,35,21,8,0,0,1.642857,0.5,1.142857,1.785714
30336,Female,2.392882,No,3,74,34,24,10,0,1,6.928572,5.571428,1.357143,8.285714
300018,Male,2.417522,No,3,81,36,29,10,1,1,0.6428572,0,0.6428572,3.214286
30379,Male,3.080082,No,2,77,38,24,13,0,0,1.785714,1.642857,0.1428571,2.785714
30351,Male,2.882957,No,3,71,35,20,10,0,0,1.785714,1.285714,0.5,1.785714
30680,Female,3.252567,No,2,68,31,20,9,0,0,3.285714,2.428571,0.8571428,1.785714
30954,Male,2.028747,No,2,82,36,27,7,0,0,1.357143,1.357143,0,1
30180,Female,3.263518,No,2,62,31,17,12,0,0,3.5,2,1.5,2
30174,Female,3.671458,No,3,76,33,26,9,0,0,2.714286,1.714286,1,0.2857143
30548,Female,2.516085,No,3,75,35,23,9,1,0,1,0.6428572,0.3571429,1.285714
30497,Male,3.657769,No,2,74,36,23,11,0,0,2.642857,2,0.6428572,1.142857
30721,Male,2.699521,No,3,81,36,29,10,1,1,0.1428571,0.1428571,0,6.142858
30564,Female,3.118412,No,3,80,34,29,9,0,0,1.5,1.5,0,2
300011,Male,3.189596,No,3,75,36,25,14,0,0,2.928571,1.285714,1.642857,1.285714
30586,Female,2.702259,No,3,68,34,19,11,0,0,1.714286,1.357143,0.3571429,2.857143
30329,Male,3.310062,No,3,83,37,28,8,0,0,2.142857,0.5,1.642857,2.928571
30415,Female,3.778234,No,2,82,38,27,9,0,0,5.071428,3.285714,1.785714,2.571429
30880,Female,4.714579,No,2,83,39,27,9,0,0,2.142857,1.642857,0.5,1.714286
30135,Female,2.195756,No,3,80,35,28,9,0,1,1.357143,0.8571428,0.5,6
30082,Male,2.954141,No,3,82,34,30,8,1,1,0,0,0,3.285714
30179,Male,2.406571,No,3,67,29,21,11,0,0,2,1,1,1.571429
30885,Female,2.620123,No,3,79,37,26,10,0,0,1.142857,1.142857,0,2.285714
30270,Female,2.940452,No,3,71,35,20,12,0,0,1.571429,0.7142857,0.8571428,0.6428572
30878,Female,2.327173,No,3,63,30,17,10,0,0,1.857143,1.357143,0.5,1.285714
30359,Female,3.994524,No,3,76,39,25,14,0,0,1.714286,1.214286,0.5,1.571429
30588,Male,3.394935,No,2,77,34,26,9,0,0,1.5,1.5,0,2.214286
30931,Female,2.940452,No,3,83,39,28,10,1,0,1,0.5,0.5,1.642857
30716,Female,2.655715,No,3,74,36,23,11,1,0,0.5,0.5,0,2.571429
30114,Male,3.211499,No,3,73,33,22,8,0,1,2,2,0,3
30139,Male,3.370294,No,3,70,32,23,11,1,0,1,0.6428572,0.3571429,1.928571
30578,Female,2.921287,No,3,84,38,30,10,1,0,0.3571429,0.3571429,0,2.428571
30361,Female,5.196441,No,3,87,39,30,8,0,0,1.5,1,0.5,1.785714
30480,Female,3.43874,No,3,74,36,21,9,0,0,1.357143,1.357143,0,1.285714
30297,Male,2.61191,No,3,70,37,19,12,0,1,1.5,1,0.5,3.571429
30788,Female,2.206708,No,2,81,34,28,7,0,0,2.5,2,0.5,1.285714
300047,Female,4.235455,No,3,77,36,26,11,0,0,2.214286,1.714286,0.5,0.5
30189,Female,3.282683,No,3,78,36,27,11,0,0,1.357143,1,0.3571429,2.928571
30681,Male,2.2423,No,3,66,31,19,10,1,0,0,0,0,1.785714
30510,Male,2.206708,No,3,75,34,25,10,1,1,0.6428572,0.6428572,0,3.928571
30327,Male,2.844627,No,2,84,39,26,7,0,0,1.142857,1.142857,0,1
30302,Male,2.9295,No,3,61,25,20,10,0,0,3.714286,3.714286,0,1.857143
30067,Male,2.469541,No,3,81,37,27,11,0,0,1.5,0,1.5,1.5
30751,Male,2.485969,No,3,72,37,22,13,0,1,2.142857,1.5,0.6428572,3.785714
30062,Male,2.414784,No,3,77,38,23,10,1,1,1,0.5,0.5,5.142858
30623,Female,2.020534,No,3,74,35,23,10,0,0,2,1,1,2.571429
30590,Male,2.762491,No,3,81,39,28,14,1,0,0.7142857,0.3571429,0.3571429,1.642857
30902,Female,2.360027,No,1,82,36,29,9,0,0,2.5,2,0.5,2
30666,Male,2.595483,No,3,77,37,24,10,0,0,2.5,2,0.5,2
30097,Male,2.26694,No,2,74,33,25,10,1,1,1,1,0,3.571429
30866,Female,2.633812,No,3,75,38,22,11,0,0,4.5,4,0.5,2.285714
30517,Male,2.677618,No,3,68,30,20,8,0,0,3.142857,1,2.142857,2.642857
30118,Male,3.545517,No,2,72,37,22,13,0,0,3.571429,3.214286,0.3571429,1.642857
30119,Male,3.392197,No,3,70,34,22,12,0,1,2.5,2,0.5,5.5
30777,Female,2.978782,No,2,78,38,24,10,0,0,1.785714,1.642857,0.1428571,1.785714
30484,Male,3.956194,No,3,78,35,28,11,0,1,2,1.5,0.5,4.285714
30445,Female,3.370294,No,3,77,35,25,9,0,0,3,3,0,2.428571
30113,Male,2.724162,No,3,72,34,23,11,0,0,1.357143,1.357143,0,1.285714
30357,Female,2.830938,No,3,82,39,27,10,1,0,0.8571428,0.3571429,0.5,1.285714
30130,Female,2.064339,No,3,74,30,26,8,0,0,2.714286,2.714286,0,2.214286
30111,Female,4.125941,No,2,80,38,25,9,0,0,12,10.28572,1.714286,2.428571
30556,Female,3.203285,No,3,69,32,20,9,1,0,0.1428571,0.1428571,0,1.285714
30861,Male,2.836413,No,3,85,36,30,7,0,0,1.357143,1.357143,0,2.571429
30704,Male,2.78987,No,3,59,26,19,12,0,0,2,1.642857,0.3571429,1.428571
30232,Male,3.444216,No,3,83,38,28,11,0,0,2.142857,1.642857,0.5,1
30362,Male,2.28063,No,2,74,35,21,10,0,1,5.571428,5.571428,0,5.285714
30710,Male,2.85284,No,3,69,35,20,12,0,1,8.142858,7.428572,0.7142857,12
30392,Male,3.392197,No,3,80,38,27,11,1,0,0.7857143,0.6428572,0.1428571,2
30476,Male,2.20397,No,3,82,37,27,8,0,0,1.5,1.5,0,2.642857
30319,Male,3.989048,No,2,79,35,26,8,1,0,0.5,0.1428571,0.3571429,1.5
30905,Female,2.231348,No,2,66,33,20,13,0,1,2,1.5,0.5,3.285714
30683,Female,2.49692,No,2,78,35,25,8,0,1,4.571428,4.571428,0,8.214286
30596,Male,2.787132,No,3,73,34,23,10,0,1,1.214286,0.5714285,0.6428572,5.285714
30161,Male,3.756331,No,3,82,36,27,7,0,0,2.5,1.857143,0.6428572,2.571429
30290,Female,3.874059,No,3,82,39,26,9,0,0,2.5,2,0.5,2.285714
30108,Female,3.107461,No,3,76,37,25,12,0,0,2.5,2,0.5,0.6428572
30365,Male,4.104038,No,3,86,38,30,8,1,1,0,0,0,4
30300,Male,4.396988,Yes,2,85,38,28,7,0,0,2,2,0,2.571429
30350,Male,4.720055,No,3,65,30,20,13,0,1,2.285714,1.642857,0.6428572,4
30176,Female,2.425736,No,3,75,33,26,10,1,0,0,0,0,0.6428572
30654,Male,4.391513,No,2,86,38,30,8,1,0,0.5,0.3571429,0.1428571,2.571429
30791,Male,3.597536,No,2,75,34,25,10,0,0,8.285714,4.285714,4,2.857143
30592,Male,3.991786,No,2,78,32,28,8,0,0,2.285714,2.285714,0,2.928571
30613,Male,4.66256,No,3,83,36,30,9,0,0,1.142857,1,0.1428571,1.5
30382,Male,4.396988,No,3,83,35,30,8,0,1,3,1.642857,1.357143,3.571429
30859,Male,3.504449,No,3,77,34,26,9,0,1,2.357143,1.285714,1.071429,3.785714
30687,Female,3.534565,No,3,77,34,26,9,0,0,1.357143,1.357143,0,1.142857
30684,Male,4.391513,No,3,76,33,25,8,0,1,1.5,1.5,0,3
30431,Female,4.07666,No,2,76,36,25,11,0,1,3.642857,3.642857,0,5
300042,Female,4.112252,No,3,81,37,28,10,0,0,1.642857,1.142857,0.5,1.285714
30543,Male,2.365503,No,3,85,37,29,7,0,0,3.5,3,0.5,2.571429
30267,Female,3.994524,No,3,78,37,24,9,0,0,2,2,0,2.928571
30344,Female,4.197125,No,3,75,35,27,13,0,0,3.428571,2.428571,1,2.785714
30127,Male,2.49692,No,3,64,28,18,10,1,0,0.7142857,0.7142857,0,1.285714
30828,Male,3.890486,No,3,77,35,25,9,1,0,1,1,0,1
30760,Male,3.479808,No,3,75,34,25,10,1,0,1,1,0,1.5
30597,Female,3.359343,No,2,77,36,24,9,0,0,2.357143,1.357143,1,2.214286
30599,Male,2.743326,No,3,77,38,24,13,1,0,0.6428572,0.6428572,0,0.9285715
30642,Female,4.618754,No,3,75,37,21,9,0,0,1.857143,1.5,0.3571429,1.142857
30306,Female,4.479124,No,3,77,38,24,11,0,1,3.428571,2.714286,0.7142857,3.5
30288,Male,4.761123,No,2,80,37,25,10,0,0,2.357143,2.214286,0.1428571,1.928571
30661,Female,3.811088,No,2,74,36,22,10,0,1,4.428572,3.571429,0.8571428,6.142858
30182,Female,4.271047,No,3,79,33,28,8,0,0,1.285714,1.285714,0,2.785714
30845,Male,3.301848,No,2,80,38,25,9,0,0,1.571429,1.214286,0.3571429,2.857143
30511,Male,3.685147,No,3,82,39,26,9,0,0,1.5,1.5,0,2.285714
30367,Male,4.752909,No,3,83,39,26,8,1,1,0.8571428,0.8571428,0,3.785714
30168,Male,3.457906,No,3,71,31,24,12,1,1,0.6428572,0.5,0.1428571,3.214286
30862,Female,3.802875,No,3,72,35,25,14,0,0,1.928571,1.571429,0.3571429,1.642857
30131,Female,3.268994,No,3,72,37,22,13,0,1,2.357143,1.857143,0.5,3.285714
30109,Female,4.019165,No,2,85,39,29,9,0,0,4.214286,3.714286,0.5,1.642857
30520,Female,4.13963,No,3,84,38,29,9,0,1,10.85714,8.285714,2.571429,4.428572
30422,Female,3.140315,No,3,75,32,27,10,0,0,1.5,1,0.5,0.7142857
30697,Female,2.524298,No,3,74,33,25,10,1,0,0,0,0,0.3571429
30282,Male,4.219028,No,3,78,35,28,13,0,0,2.357143,1.857143,0.5,1.785714
30214,Male,2.833676,No,3,83,36,28,7,0,0,1.857143,1.357143,0.5,2.642857
30409,Male,4.167009,No,3,75,37,22,10,1,1,0,0,0,6
30608,Female,4.161533,Yes,3,80,36,29,11,0,0,1.642857,1.142857,0.5,2.428571
30080,Male,3.613963,Yes,3,72,33,22,9,0,0,2,2,0,2.571429
30007,Male,3.96167,No,3,75,38,23,14,0,0,4.142857,1.785714,2.357143,1
30287,Female,4.068446,No,3,71,35,21,11,1,0,1,0.5,0.5,1.928571
30871,Male,3.583847,No,3,80,37,28,11,0,1,1.5,1,0.5,3.142857
30221,Male,2.264203,No,3,65,26,21,8,1,0,0.8571428,0.8571428,0,2.285714
30519,Male,4.262834,No,3,63,28,19,10,0,0,1.142857,1.142857,0,2.785714
30412,Female,3.252567,No,3,80,37,29,14,0,0,1.785714,1.785714,0,1.428571
30369,Male,4.098563,No,2,84,37,28,7,0,0,4.714286,3.571429,1.142857,2.285714
30405,Female,3.854894,No,3,72,35,22,15,0,0,2,2,0,2.428571
30916,Female,2.072553,No,2,85,38,29,8,1,0,0.6428572,0.6428572,0,0.6428572
30245,Male,2.962355,No,2,63,30,18,11,0,1,2.5,2.5,0,5
30446,Female,3.794661,No,1,77,38,25,12,0,1,2,1,1,3.285714
30506,Male,3.986311,No,3,79,37,26,10,0,0,3,3,0,2.071429
30294,Female,3.633128,No,3,73,36,22,11,1,0,0.2857143,0.2857143,0,2.428571
30142,Male,3.15948,No,3,74,35,23,10,0,0,2.785714,2.285714,0.5,1.642857
30137,Female,2.078029,No,3,73,29,26,8,0,0,4.142857,2.071429,2.071429,2.785714
30175,Male,4.191649,No,3,76,34,27,11,0,1,1.142857,1,0.1428571,3.142857
30153,Male,3.991786,No,2,71,34,25,14,0,1,2.5,2.357143,0.1428571,3.785714
30125,Male,4.125941,No,3,82,35,29,8,0,0,1.428571,1.285714,0.1428571,1.571429
30070,Male,2.830938,No,2,81,37,27,9,0,0,1.642857,1,0.6428572,2.214286
30842,Male,2.609172,No,3,77,35,26,10,1,1,0.6428572,0.5,0.1428571,3.285714
300029,Female,3.367557,Yes,3,80,37,27,10,0,0,2.5,2,0.5,1.928571
30851,Male,3.039014,No,3,67,33,18,10,0,1,3.571429,2.571429,1,3.285714
30569,Female,3.151266,No,3,85,38,29,8,0,0,2.571429,2.571429,0,2.642857
30133,Female,3.88501,No,3,83,37,29,9,1,0,1,1,0,2.285714
30873,Male,4.021903,No,2,69,31,23,11,0,0,1.357143,1.214286,0.1428571,2
30646,Male,3.956194,No,2,77,31,29,9,0,1,3.785714,3.428571,0.3571429,10.57143
30253,Male,5.062286,No,3,77,35,25,9,0,0,2.142857,1.142857,1,2.857143
30150,Male,2.759754,No,3,70,32,22,10,1,1,0.6428572,0.5,0.1428571,4.928572
30637,Female,2.863792,No,3,68,34,20,12,0,0,1.285714,1.142857,0.1428571,2.928571
30353,Female,4.010952,No,3,77,36,24,9,1,0,0.5,0,0.5,1
30217,Female,3.195072,No,2,83,39,28,10,0,1,2.785714,2.428571,0.3571429,8.857143
30332,Male,4.312115,No,3,73,37,23,13,0,0,2.5,2.142857,0.3571429,1.214286
30933,Male,2.524298,No,3,77,34,27,10,0,1,1.357143,0.8571428,0.5,5
30714,Male,2.502396,No,3,73,34,21,8,1,1,0,0,0,3
30624,Female,4.533881,No,2,82,37,28,9,0,0,2.5,2,0.5,2.928571
30926,Female,3.613963,No,3,78,38,25,11,0,1,4.428572,4.428572,0,4.142857
30534,Female,2.321697,No,3,68,32,20,10,0,1,8,6.285714,1.714286,6.857142
30123,Female,4.068446,No,3,78,36,27,11,0,0,1.142857,1.142857,0,2.285714
30373,Female,2.004107,No,3,76,32,25,7,1,1,0.6428572,0.6428572,0,4
30826,Male,4.429842,Yes,3,58,24,16,10,0,0,1.214286,0.7142857,0.5,0.6428572
30725,Male,3.427789,No,3,76,35,25,12,0,0,2.857143,2,0.8571428,1.5
30644,Male,4.963724,No,3,85,39,29,9,0,1,2.571429,1.714286,0.8571428,4.285714
30942,Female,2.773443,No,3,80,38,26,10,0,0,1.214286,0.7142857,0.5,0.7857143
30797,Female,4.030117,No,2,77,37,24,10,0,0,4.357142,2.857143,1.5,2.571429
30143,Male,4.131417,Yes,2,82,39,27,10,0,0,3.785714,2.785714,1,1.428571
30468,Male,4.224504,No,3,80,37,26,9,1,1,1,0.6428572,0.3571429,3.928571
